OBJECTID,CSA2010,abse10,abse11,abse12,abse13,abse14,abse15,abse16,abse17,abse19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,14.66905,20.636451,15.6156,16.6134,16.704,21.383,16.9691,20.041537,24.818401937046,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,6.445993,17.928903,9.9174,12.0462,11.0561,11.041,11.8721,15.325077,19.5035460992907,47882527.711731,37524.9505333862
3,Belair-Edison,14.02754,18.936342,16.7802,16.275,18.5714,19.9477,21.0526,19.964349,27.7294685990338,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,19.58457,19.762123,20.0602,19.1429,23.6031,23.0838,25.7983,21.947326,29.8050139275766,176077742.748291,150987.70363871
5,Canton,7.777778,6.5789474,6.7416,5.9524,5.1546,3.7383,7.0796,2.8301887,2.06185567010309,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,10.51402,13.783598,9.9649,8.9195,12.108,13.0695,11.8583,15.340909,21.8407596785975,71541340.3060913,39962.5498346887
7,Cherry Hill,14.28571,21.515892,18.9349,18.6747,24.7821,26.986,27.1429,30.884184,36.5384615384615,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,10.49869,12.276215,10.567,10.4972,14.1689,13.9089,14.7727,16.705336,26.9444444444444,21022590.1298218,21705.411630324
9,Claremont/Armistead,14.12639,12.727273,9.913,11.9225,10.1669,12.973,13.4788,15.158637,21.2160413971539,61243774.4198608,40104.4159801772
10,Clifton-Berea,15.35836,22.998729,16.5782,16.1917,18.3956,17.6471,22.6087,23.22357,30.2782324058919,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,8.762887,8.1081081,5.9055,10.9524,9.2233,6.5421,4.4335,8.3333333,12.5683060109289,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,10.50228,12.446352,7.6555,10.4072,17.551,17.0306,10.6977,17.094017,20.0836820083682,35719112.4146729,31637.8174238148
13,Dorchester/Ashburton,11.07266,13.975155,11.215,11.4887,15.8556,19.0549,19.8856,17.936508,22.7979274611398,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,8.108108,23.076923,12.766,14.0187,7.7586,21.6667,30.0971,22.222222,34.6534653465346,20736554.4071045,21565.8593945388
15,Edmondson Village,16.73077,17.105263,12.3482,14.5263,11.6071,14.0127,13.8,19.354839,22.5225225225225,23563061.0440674,21504.5513578719
16,Fells Point,6.914894,4.9382716,5.4348,6.8421,7.7295,7.5893,3.9604,10.588235,13.2231404958677,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,13.06715,14.751286,8.3942,9.8497,13.9837,12.199,12.275,17.578773,26.1732851985559,37200535.0299683,36886.899781185
