OBJECTID,CSA2010,absmd10,absmd11,absmd12,absmd13,absmd14,absmd15,absmd16,absmd17,absmd19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,28.78179,20.032051,14.6758,14.6712,17.4632,17.6895,17.5277,23.976608,26.0042283298097,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,11.74785,11.111111,10.2703,10.0264,7.438,15.71,11.2462,16.716418,21.6666666666666,47882527.711731,37524.9505333862
3,Belair-Edison,12.39471,13.065977,14.8794,8.8235,12.1986,14.8872,15.6398,19.896194,25.6117455138662,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,21.33333,24.532225,24.0084,25.3906,27.459,25.9036,25.4065,29.980658,32.8596802841918,176077742.748291,150987.70363871
5,Canton,21.875,13.513514,13.1579,12.8205,12.1212,0,12.1951,11.428571,5.26315789473684,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,9.053498,12.085308,13.4565,7.3431,9.2348,10.0806,11.7569,16.871921,18.8220230473751,71541340.3060913,39962.5498346887
7,Cherry Hill,16.99029,19.181586,19.5238,18.3628,20.9302,21.3198,24.6341,25.388601,40.3422982885085,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,9.210526,10.648148,6.2802,12.8079,12.1359,15.9624,16.8269,19.069767,19.0954773869346,21022590.1298218,21705.411630324
9,Claremont/Armistead,15.35581,13.899614,12.4088,8.9744,11.3712,14.9584,16.622,18.952618,26.4367816091954,61243774.4198608,40104.4159801772
10,Clifton-Berea,17.97323,20.95672,21.5962,16.3895,19.8966,24.5383,26.6667,31.791908,26.9230769230769,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,1.851852,4.2857143,6.25,7.0175,9.7345,17.2932,13.1387,15.178571,10.8910891089108,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,22.58065,19.130435,10.6796,10.9091,16.4948,9.1954,14.0187,20,20.3703703703703,35719112.4146729,31637.8174238148
