OBJECTID,CSA2010,compl10,compl11,compl12,compl13,compl14,compl15,compl16,compl17,compl19,compl20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,80.34934,83.94,78.13953,82.68156,86.294416,77.647059,75.510204,75.141243,75.8389261744966,73.8562091503268,63770461.6375732,38770.1655468724
2,Beechfield/Ten Hills/West Hills,85.86957,80.34,82.05128,89.2562,89.423077,86.792453,86.111111,68,78,78.5714285714285,47882527.4310303,37524.950309522
3,Belair-Edison,82.85714,79.91,77.39464,82.18623,81.568627,80,84.234234,79.5,82.6086956521739,81.6425120772946,44950030.5917358,31307.3140062229
4,Brooklyn/Curtis Bay/Hawkins Point,78.46154,75.38,70.5036,74.78261,78,69.411765,74.747475,78.448276,72.4489795918367,69.2982456140351,176077742.242249,150987.70379717
5,Canton,75,66.67,100,80,80,75,80,50,33.3333333333333,,15408538.383667,23338.613253681
6,Cedonia/Frankford,82.11921,82.29,83.86076,81.84818,84.453782,85.770751,83.534137,79.497908,76.4462809917355,77.5362318840579,71541339.9315796,39962.5498265526
7,Cherry Hill,76.40449,85.29,84.44444,77.31092,78.846154,66.990291,71.276596,77.419355,75.2808988764044,72.7272727272727,29144180.7909546,22305.3021104406
8,Chinquapin Park/Belvedere,76.38889,84.09,82.43243,86.58537,80.882353,87.037037,81.967213,77.464789,81.6326530612244,81.8181818181818,21022590.0650635,21705.4094121732
9,Claremont/Armistead,80.32787,81.48,78.37838,76.82927,81.15942,77.52809,80,75.454545,75.7575757575757,80.1801801801801,61243774.3272705,40104.41599886
10,Clifton-Berea,77.69784,80.75,81.29496,71.31783,65.09434,63.809524,76.530612,75.490196,68.9655172413793,70.8333333333333,23285233.5608521,24022.7642575489
11,Cross-Country/Cheswolde,76.92308,80,75.75758,78.26087,87.878788,95,88.235294,82.352941,87.5,82.7586206896551,38222017.9520264,26788.3012697818
12,Dickeyville/Franklintown,78.57143,80,84.84848,77.77778,65.217391,78.947368,85,88.888889,73.6842105263157,80,35719112.4081421,31637.8172583018
13,Dorchester/Ashburton,80.74534,79.29,81.81818,85.31469,85.384615,79.6875,82.5,74.766355,79.4642857142857,78.7234042553191,34118277.1234131,27136.0752073641
14,Downtown/Seton Hill,82.35294,90.91,93.33333,85.71429,91.304348,90,63.636364,93.75,85.7142857142857,77.7777777777777,20736554.2258911,21565.8588016288
15,Edmondson Village,77.6699,76.98,83.60656,78.57143,79.2,78.070175,72.727273,77.894737,83.3333333333333,75.5813953488372,23563061.0827637,21504.5514462047
16,Fells Point,72.22222,92.31,53.84615,62.5,83.333333,72.727273,83.333333,86.666667,53.8461538461538,72.7272727272727,12620515.5621338,27670.1671278859
17,Forest Park/Walbrook,74.07407,76.42,80.17241,78.89908,82.352941,75.280899,80.645161,79.816514,83.6538461538461,80.7692307692307,37200534.986084,36886.8992459856
18,Glen-Fallstaff,79.46429,73.39,82,83.03571,83.17757,82.075472,75,77.777778,80,77.7777777777777,46995476.8624878,48549.0046537655
19,Greater Charles Village/Barclay,76.27119,76.92,77.55102,85,82.857143,83.333333,78.571429,72.727273,72.7272727272727,73.3333333333333,27051213.5297852,26454.2704234316
20,Greater Govans,83.76623,90.98,88.70968,79.54545,86.178862,81.651376,77.981651,82.4,76.9230769230769,82.3999999999999,22698495.8479004,22982.1255970395
21,Greater Mondawmin,80.15873,83.19,82.40741,84.96241,88.392857,75,85,74.712644,69.2307692307692,71.7171717171717,33663448.0846558,31136.7321589085
22,Greater Roland Park/Poplar Hill,100,83.33,100,75,88.888889,92.857143,88,80,95.6521739130434,91.6666666666666,56688144.6610107,39862.7495668002
23,Greater Rosemont,76.98413,77.95,82.52033,83.12236,79.047619,71.226415,76.033058,77.522936,76.5625,78.2178217821782,42204384.1687012,32559.0766472512
24,Greenmount East,74.13793,72.93,83.33333,68.26923,71.287129,77.272727,74.193548,71.717172,85.7142857142857,81.3333333333333,19072287.7680054,20797.4734911633
25,Hamilton,77.44361,81.4,79.31034,80.85106,80.18018,79.79798,81.15942,85.714286,88.6363636363636,86.5546218487395,45191100.3137817,27712.1108645259
26,Harbor East/Little Italy,66.66667,82.35,70.73171,68.88889,64.705882,54.545455,69.767442,72.972973,73.8095238095238,71.4285714285714,10215859.2693481,18552.4071524043
27,Harford/Echodale,84.10596,83.97,86.04651,75.78125,83.211679,82.905983,87.068966,80,78,79.6610169491525,65360038.8815918,40019.1864180419
