OBJECTID,CSA2010,drop10,drop11,drop12,drop13,drop14,drop15,drop16,drop17,drop19,drop20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,3.759398,4.9462366,2.730375,2.014218,2.6448363,3.537415,3.1900139,4.7927461,4.61538461538461,1.70278637770897,63770461.821228,38770.1656019261
2,Beechfield/Ten Hills/West Hills,1.956947,1.9379845,2.964427,1.183432,1.7582418,2.0361991,1.1876485,1.8957346,2.30179028132992,0.831024930747922,47882527.5679321,37524.9503628655
3,Belair-Edison,4.019688,4.1595925,3.809524,2.327663,1.9323671,3.315508,3.575184,4.2986425,3.77833753148614,0.756620428751576,44950030.7208252,31307.3140506216
4,Brooklyn/Curtis Bay/Hawkins Point,5.203252,3.538175,4.753521,5.009634,3.4285714,8.226691,5,4.974271,6.23946037099494,4.68227424749163,176077742.744141,150987.704011462
5,Canton,4.081633,8.1081081,0,0,3.4482759,10.344828,0,9.5238095,5.55555555555555,,15408538.4275513,23338.6132868556
6,Cedonia/Frankford,2.572783,2.9657795,3.822153,1.735537,1.087942,2.0465116,1.8269231,2.3853211,2.53292806484295,0.987166831194471,71541340.133667,39962.549883229
7,Cherry Hill,3.938356,4.9360146,3.231939,2.264151,2.8,5.4112554,4.9462366,3.874092,6.30841121495327,4.94117647058823,29144180.8742065,22305.3021421126
8,Chinquapin Park/Belvedere,4.273504,2.3668639,2.580645,0.651466,0.7352941,1.9230769,1.1029412,2.5547445,4.04858299595141,2.39043824701195,21022590.1247559,21705.4094429356
9,Claremont/Armistead,3.206997,1.4044944,6.145251,1.355014,1.6901408,2.7918782,2.3201856,3.9045553,2.01342281879194,1.931330472103,61243774.501709,40104.4160556836
10,Clifton-Berea,4.591837,5.4572271,6.045752,3.603604,2.2429907,4.8387097,6.3596491,4.622871,4.25,2.78481012658227,23285233.6271362,24022.7642916278
11,Cross-Country/Cheswolde,2.419355,3.125,0.675676,0,2.0408163,2.1582734,1.6,9.5238095,2.3076923076923,2.20588235294117,38222018.0605469,26788.3013078281
12,Dickeyville/Franklintown,2.73224,1.2738854,1.986755,3.174603,3.3613445,3.0769231,0.952381,1.1111111,2.73972602739726,,35719112.5067749,31637.8173032768
13,Dorchester/Ashburton,4.508197,3.0487805,4.098361,1.436266,1.1583012,2.3012552,2.3554604,2.4122807,1.83066361556064,0.75,34118277.2200317,27136.0752459254
14,Downtown/Seton Hill,5,1.3333333,0,1.408451,0,6.4516129,2.9850746,1.5151515,1.85185185185185,3.38983050847457,20736554.2845459,21565.8588322546
15,Edmondson Village,3.094463,3.7671233,1.356589,2.070393,1.8987342,4,3,3.1818182,2.89473684210526,2.44565217391304,23563061.1518555,21504.5514767657
16,Fells Point,4,2.7777778,8.333333,1.190476,3.1914894,5.2083333,3.4482759,2.8169014,2.98507462686567,2.89855072463768,12620515.5970459,27670.1671671556
17,Forest Park/Walbrook,3.814262,4.1121495,4.60251,0.784314,0.8528785,1.7582418,1.8480493,4.0540541,3.39943342776204,1.17994100294985,37200535.0928955,36886.8992983876
18,Glen-Fallstaff,2.173913,3.8461538,2.188184,0.811359,1.0683761,0.8658009,2.5974026,1.750547,2.48306997742663,2.01793721973094,46995476.9956665,48549.0047227538
19,Greater Charles Village/Barclay,3.886926,4.6099291,3.249097,2.105263,2.166065,2.1645022,3.9215686,4.8387097,3.84615384615384,3.58744394618834,27051213.6091919,26454.2704609982
20,Greater Govans,3.654971,4.2003231,3.880071,0.723327,2.0484171,2.734375,2.1097046,2.7573529,2.42290748898678,1.65289256198347,22698495.9123535,22982.1256297
21,Greater Mondawmin,3.040541,4.4061303,2.880658,0.598802,1.0638298,2.247191,3.4313725,3.6842105,5.6,2.710027100271,33663448.1807861,31136.7322031244
22,Greater Roland Park/Poplar Hill,0,1.2048193,0,0,0,0,0,0.9615385,,,56688144.8244629,39862.7496234061
23,Greater Rosemont,4.54207,4.2464613,5.272256,2.665441,2.6011561,4.1108987,3.204524,4.0348964,3.86803185437997,1.88235294117647,42204384.286499,32559.0766934728
24,Greenmount East,4.14673,5.8319039,4.878049,2.44898,3.5123967,7.0257611,3.3333333,2.6128266,3.08988764044943,1.8018018018018,19072287.8216553,20797.4735206698
25,Hamilton,4.075235,3.3112583,2.072539,1.158301,1.2072435,1.8329939,1.3232514,2.1484375,1.36186770428015,0.591715976331361,45191100.4423218,27712.1109038427
26,Harbor East/Little Italy,4.854369,7.6555024,7.035176,2.01005,0.5208333,3.286385,4.56621,3.5714286,3.82513661202185,1.85185185185185,10215859.2982788,18552.4071787259
27,Harford/Echodale,2.650957,2.9968454,1.149425,1.376936,0.8756567,2.0183486,0.7590133,0.5545287,3.53634577603143,2.23577235772357,65360039.0682983,40019.1864748473
28,Highlandtown,4.511278,2.9411765,10.31746,0.719424,3.3783784,1.8987342,7.2289157,6.3694268,2.54777070063694,1.97044334975369,11684191.3214722,14976.1236496044
29,Howard Park/West Arlington,3.660886,2.4793388,2.926829,2.392344,0.7281553,3.5326087,1.1204482,4.8022599,1.23839009287925,0.928792569659442,63262429.7189331,36034.4979233799
30,Inner Harbor/Federal Hill,3.937008,3.7383178,3.157895,4.347826,3.6144578,9.3023256,1.0309278,5.6179775,2.17391304347826,,24995835.8388672,43415.0593769836
31,Lauraville,2.782071,2.4074074,2.070393,2.371542,1.2658228,3.4934498,1.369863,1.7391304,1.36363636363636,0.904977375565611,49665744.2211914,34419.675379639
32,Loch Raven,2.770449,2.6990553,2.228412,0.718391,0.7861635,1.8003273,1.4827018,1.0186757,1.50501672240802,1.48514851485148,44147811.8812256,29314.3329894163
33,Madison/East End,4.46304,5.2910053,9.306569,2.777778,2.8340081,4.6025105,3.1319911,7.3660714,5.01930501930501,4.51127819548872,8897845.18237305,13120.1590652664
34,Medfield/Hampden/Woodberry/Remington,3.571429,5.7057057,2.678571,1.497006,4.5016077,4.6263345,1.4760148,2.5423729,2.75229357798165,1.8018018018018,62441489.0811157,43152.6263853956
35,Midtown,5.421687,4.0268456,3.205128,2.12766,4.1322314,0.862069,2.5210084,1.5151515,,4.76190476190476,23823950.9505615,25020.0964513174
36,Midway/Coldstream,4.090268,4.5075125,4.886562,2.966841,2.5089606,3.4220532,3.5781544,4.7311828,5.05747126436781,1.42857142857142,17884471.0522461,22767.8274529143
37,Morrell Park/Violetville,3.365385,3.0172414,3.030303,1.315789,3.4042553,4.56621,4.6632124,5.6338028,3.63636363636363,3.08370044052863,67470845.9296265,44412.7456142239
38,Mount Washington/Coldspring,5.172414,3.5294118,1.111111,0,1.369863,0,0,0,,,56943059.0881958,38539.7660685406
39,North Baltimore/Guilford/Homeland,0,2,1.923077,0.847458,2.1276596,1.4184397,0,1.8292683,,,74923987.5419312,42904.2221264269
40,Northwood,3.054449,3.2400589,3.372681,1.090909,1.0948905,3.0947776,1.1928429,1.8145161,1.58102766798418,1.11317254174397,52743271.5959473,38889.892833398
41,Oldtown/Middle East,3.589744,5.5793991,6,3.0837,2.2123894,5.1569507,2.4774775,3.8071066,4.65753424657534,1.37741046831955,24585968.703064,23866.3284093761
42,Orangeville/East Highlandtown,4.181185,2.5396825,10.85714,2.333333,3.2,4.4041451,5.2763819,7.5294118,3.34029227557411,3.46820809248554,89894371.9350586,47825.8623589404
43,Patterson Park North & East,4.173107,4.288499,7.976654,2.429907,1.6014235,3.3834586,4.3399638,6.1482821,4.7029702970297,3.85542168674698,14507643.161377,21786.3746831444
44,Penn North/Reservoir Hill,5.324459,5.7971014,4.752475,4.069767,1.9823789,4.86618,2.4509804,4.610951,4.82315112540192,1.73010380622837,41059796.9436035,29078.8387875968
45,Pimlico/Arlington/Hilltop,5.685619,5.0139276,3.426791,2.030457,1.0909091,3.2667877,5.5655296,3.4926471,1.66666666666666,1.13122171945701,30400962.223999,24725.9336113068
46,Poppleton/The Terraces/Hollins Market,5.248869,3.2786885,4.026846,1.748252,3.5856574,4.1322314,3.0837004,2.5104603,7.01754385964912,3.63636363636363,9302012.78076172,12334.0275963911
47,Sandtown-Winchester/Harlem Park,6.578947,6.7099567,4.487917,2.93742,1.8867925,5.7503506,4.6043165,6.0855263,4.90018148820326,3.46232179226069,23672093.0994263,20987.144473645
48,South Baltimore,2.92887,4.7619048,3.174603,3.636364,8,6.25,4.7619048,0,,,46353935.5716553,68440.0251230114
49,Southeastern,4.95283,2.5125628,9.895833,2.840909,1.6042781,3.8095238,2.5316456,5.3719008,2.734375,1.49812734082397,111251477.986023,102291.480998915
50,Southern Park Heights,5.892548,7.8125,4.011887,1.736614,2.0440252,2.37691,3.1358885,5.0505051,4.61847389558232,1.62932790224032,27876227.4512329,24052.2213635966
51,Southwest Baltimore,2.991453,5.647517,4.766839,2.787068,3.1468531,6.6185319,5.4906542,5.0314465,6.44628099173553,4.26929392446633,37766068.7674561,28355.5624665102
52,The Waverlies,2.991453,3.286385,4.239401,3.053435,4.4817927,3.8709677,2.3178808,3.4364261,3.51437699680511,1.86567164179104,20383750.6871338,18733.8272340313
53,Upton/Druid Heights,3.639241,4.1811847,5.160142,3.238095,2.7624309,3.8181818,4.109589,2.2123894,4.39814814814814,3.08370044052863,16976621.7036133,19389.3078206059
54,Washington Village/Pigtown,8.119658,3.652968,5.31401,1.470588,2,6.4676617,1.025641,6.5088757,3.72670807453416,3.16455696202531,39343261.7228394,36962.2588213861
55,Westport/Mount Winans/Lakeland,3.644647,3.6458333,3.645833,3.532609,1.3850416,5.9782609,2.2408964,4.3731778,6.76691729323308,2.73631840796019,45494092.8031006,42573.124523295
