OBJECTID,CSA2010,abshs10,abshs11,abshs12,abshs13,abshs14,abshs15,abshs16,abshs17,abshs19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,41.16541,38.27957,38.9791,35.6635,37.6574,40.136054,38.418863,55.569948,52.4615384615384,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,29.94129,31.395349,29.1498,23.6686,29.8901,33.484163,27.790974,44.075829,46.2915601023017,47882527.711731,37524.9505333862
3,Belair-Edison,41.09926,43.972835,41.4742,34.4673,37.4879,39.893048,36.487907,49.886878,51.889168765743,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,36.26016,46.927374,48.1884,39.3064,46.4762,43.144424,43.518519,55.746141,58.6846543001686,176077742.748291,150987.70363871
5,Canton,22.44898,29.72973,20,34.4828,34.4828,31.034483,20,38.095238,27.7777777777777,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,35.47732,36.273764,31.9744,30,34.1795,34.511628,32.980769,44.12844,42.4518743667679,71541340.3060913,39962.5498346887
7,Cherry Hill,44.17808,50.639854,46.6926,43.9623,46.2,48.917749,50.752688,66.585956,67.0560747663551,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,34.47293,29.585799,31.6993,28.3388,26.4706,30.769231,29.044118,43.065693,40.4858299595141,21022590.1298218,21705.411630324
9,Claremont/Armistead,41.39942,44.662921,42.0118,38.4824,37.7465,38.832487,37.12297,50.32538,47.4272930648769,61243774.4198608,40104.4159801772
10,Clifton-Berea,42.21939,48.525074,51.0204,43.4234,46.9159,46.975806,46.710526,60.340633,63,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,26.6129,26.25,22.9167,22.8571,27.8912,22.302158,21.6,32.380952,31.5384615384615,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,36.06557,38.216561,42,42.0635,45.3782,36.153846,27.619048,50,57.5342465753424,35719112.4146729,31637.8174238148
13,Dorchester/Ashburton,37.02186,35.518293,32.0534,29.982,32.6255,35.355649,31.263383,50.657895,46.2242562929061,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,40,36,38.8889,40.8451,45.4545,45.16129,41.791045,59.090909,59.2592592592592,20736554.4071045,21565.8593945388
15,Edmondson Village,45.11401,45.547945,42.3762,35.8178,36.7089,40.470588,38.75,57.5,55,23563061.0440674,21504.5513578719
16,Fells Point,43,48.611111,44.1176,27.381,32.9787,44.791667,31.034483,45.070423,50.7462686567164,12620515.7177734,27670.1699158504
17,Forest Park/Walbrook,41.12769,43.17757,39.9568,32.7451,38.1663,37.802198,34.086242,52.027027,47.5920679886685,37200535.0299683,36886.899781185
18,Glen-Fallstaff,30.83004,30.128205,32.0628,27.3834,32.0513,32.251082,33.549784,46.389497,46.9525959367945,46995477.4777832,48549.0046179359
19,Greater Charles Village/Barclay,44.52297,43.262411,37.1747,36.8421,35.7401,39.82684,39.607843,52.822581,49.5192307692307,27051213.4544067,26454.2692113378
20,Greater Govans,33.77193,38.933764,35.3153,34.5389,35.7542,39.648438,37.552743,54.044118,50.4405286343612,22698495.7175903,22982.1257150065
21,Greater Mondawmin,35.97973,37.931034,32.8452,28.5429,34.6809,37.752809,35.294118,54.210526,55.2,33663448.2787476,31136.7318903894
22,Greater Roland Park/Poplar Hill,5.555556,8.4337349,6.3291,9.4595,5.2632,5.6179775,4.040404,11.538462,9.52380952380952,56688145.180481,39862.7497953315
23,Greater Rosemont,43.41028,48.959201,48.1874,38.2353,43.9306,45.219885,41.28181,58.560523,55.745164960182,42204384.5409546,32559.0762212062
24,Greenmount East,47.6874,49.056604,50.9615,44.2857,46.9008,50.351288,42.380952,57.719715,56.1797752808988,19072287.8237305,20797.473457859
