OBJECTID_1,CSA2010,sclsw11,sclsw12,sclsw13,sclsw14,sclsw15,sclsw16,sclsw19,sclsw20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,6.8313393,9.620049,6.734007,9.1015169,7.6359429,7.0909091,5.06831203173204,4.5754716981132,63770461.6375732,38770.1655468724
2,Beechfield/Ten Hills/West Hills,5.0858653,5.589226,5.428954,5.9214502,5.6432039,6.1122957,4.29155313351498,3.54706684856753,47882527.4310303,37524.950309522
3,Belair-Edison,7.2055138,7.59987,7.852349,7.9938744,8.4471261,7.3641998,5.71936056838365,4.8941339812565,44950030.5917358,31307.3140062229
4,Brooklyn/Curtis Bay/Hawkins Point,6.2055898,7.9551,8.313311,8.7311302,7.633295,10.621062,5.65610859728506,4.34619707755713,176077742.242249,150987.70379717
5,Canton,2.6666667,1.863354,5.921053,1.4354067,3.8277512,4.0229885,1.65745856353591,2.82485875706214,15408538.383667,23338.613253681
6,Cedonia/Frankford,5.2077562,6.505469,7.130018,7.112069,5.6864338,8.3018868,5.15126737530662,4.57516339869281,71541339.9315796,39962.5498265526
7,Cherry Hill,8.8838269,9.566185,9.657837,10.282651,12.21336,8.3965015,7.26775956284153,5.13392857142857,29144180.7909546,22305.3021104406
8,Chinquapin Park/Belvedere,5.6084656,7.268722,5.963303,6.5458207,4.3103448,7.5,4.57516339869281,2.63157894736842,21022590.0650635,21705.4094121732
9,Claremont/Armistead,4.9180328,6.374172,5.029586,5.3526448,4.2612064,5.5590651,3.13745019920318,3.51219512195122,61243774.3272705,40104.41599886
10,Clifton-Berea,8.8760504,9.910913,10.98398,10.355487,10.59074,9.0072321,5.85241730279898,7.64290301862556,23285233.5608521,24022.7642575489
11,Cross-Country/Cheswolde,2.862254,3.947368,6.034483,4.5372051,2.8268551,7.7419355,2.2633744855967,3.03030303030303,38222017.9520264,26788.3012697818
12,Dickeyville/Franklintown,6.9306931,7.12743,8.533917,6.7150635,5.3030303,9.1334895,5.35714285714285,4.74226804123711,35719112.4081421,31637.8172583018
13,Dorchester/Ashburton,7.6968974,9.7867,7,8.8269454,7.3185012,7.5254237,5.76208178438661,4.99666888740839,34118277.1234131,27136.0752073641
14,Downtown/Seton Hill,6.6985646,8.133971,8,10.763889,7.5342466,10.087719,6.34920634920634,4.7808764940239,20736554.2258911,21565.8588016288
15,Edmondson Village,7.4811256,9.826153,8.073541,7.8814172,7.7598829,5.5696203,6.67603654251581,5.21739130434782,23563061.0827637,21504.5514462047
16,Fells Point,3.125,1.898734,2.623907,3.7444934,2.4017467,5.6149733,1.65016501650165,2.20820189274447,12620515.5621338,27670.1671278859
17,Forest Park/Walbrook,6.9060773,9.792285,8.42032,7.4051408,7.4969021,6.9900143,5.78800557880055,7.63888888888888,37200534.986084,36886.8992459856
18,Glen-Fallstaff,5.0359712,6.074412,4.834437,6.6822978,5.9259259,7.2643979,4.17661097852028,3.0562347188264,46995476.8624878,48549.0046537655
19,Greater Charles Village/Barclay,8.5612366,10.02445,8.495982,7.7148438,7.5126904,6.612529,3.08056872037914,4.57209847596717,27051213.5297852,26454.2704234316
20,Greater Govans,7.0823245,10.38537,9.273183,8.643326,7.2916667,7.8155029,5.83896742470805,5.15896820635872,22698495.8479004,22982.1255970395
21,Greater Mondawmin,8.008658,8.878856,8.265078,8.8817891,6.5594855,7.6569678,7.76419841840402,4.1907514450867,33663448.0846558,31136.7321589085
22,Greater Roland Park/Poplar Hill,1.3729977,1.176471,2.612827,1.6806723,0.5928854,3.6036036,,,56688144.6610107,39862.7495668002
23,Greater Rosemont,8.8449229,10.31653,9.068997,9.7938144,9.7522404,8.317757,7.3432083202017,6.59083305453328,42204384.1687012,32559.0766472512
24,Greenmount East,8.4131327,9.345794,12.56318,12.329616,9.0079124,8.2503556,7.3318216175359,5.94142259414225,19072287.7680054,20797.4734911633
25,Hamilton,5.7594579,5.490438,6.119704,6.3668224,5.6313993,6.6031746,3.75139977603583,3.1736872475476,45191100.3137817,27712.1108645259
26,Harbor East/Little Italy,5.6022409,8.78187,7.244502,9.6623981,7.5709779,8.891455,4.47368421052631,4.82866043613707,10215859.2693481,18552.4071524043
27,Harford/Echodale,5.394402,5.901639,5.225125,5.7963955,5.2683407,6.7708333,3.79871731623088,3.72208436724565,65360038.8815918,40019.1864180419
28,Highlandtown,8.0392157,6.415094,8.141593,4.7008547,2.8894472,5.377907,2.96774193548387,3.14318975552968,11684191.288147,14976.1236283523
29,Howard Park/West Arlington,6.8058778,6.517857,7.90378,8.4319527,7.904835,7.16946,4.56081081081081,3.00353356890459,63262429.5392456,36034.4978721568
30,Inner Harbor/Federal Hill,5.4187192,6.839623,4.060914,5.3149606,3.5714286,6.122449,3.04182509505703,1.89393939393939,24995835.7678833,43415.0593153117
31,Lauraville,6.462585,7.15851,6.369863,6.6095471,5.1507538,6.3643014,4.52702702702702,5.17358747447243,49665744.079895,34419.6753307615
32,Loch Raven,5.2607291,5.693431,6.042595,5.4211843,5.3108275,6.8835455,4.43548387096774,3.74479889042995,44147811.7578735,29314.3329478779
33,Madison/East End,10.354691,11.52721,11.8975,11.098901,9.0757238,9.5035461,6.08034744842562,6.93970420932878,8897845.15734863,13120.159046634
34,Medfield/Hampden/Woodberry/Remington,3.765324,4.367201,4.496403,3.0516432,3.1655844,5.4336468,1.6267942583732,1.24352331606217,62441488.9058838,43152.6263240571
35,Midtown,5.9496568,8.86918,7.209302,7.1146245,5.9183673,9.9514563,3.97196261682242,3.72208436724565,23823950.8825684,25020.0964157995
36,Midway/Coldstream,10.917538,9.881657,10.34084,10.054754,8.677686,8.7850467,7.760663507109,6.11216131064902,17884471.00177,22767.8274205843
