OBJECTID,CSA2010,hstud10,hstud11,hstud12,hstud13,hstud14,hstud15,hstud16,hstud17,hstud19,hstud20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,0.757337,1.52,2.06,1.86,1.79,1.8843,2.3636,2.8914591,3.18111852231913,3.57917570498915,63770461.779541,38770.1655711966
2,Beechfield/Ten Hills/West Hills,0.648508,1.16,1.06,1.53,1.33,2.4165,2.914,2.5659301,4.7808764940239,4.98773507767784,47882527.711731,37524.9505333862
3,Belair-Edison,0.290951,0.69,1.18,1.56,1.12,1.6376,2.1145,2.244582,2.45700245700245,2.31237322515213,44950030.4730835,31307.3148434905
4,Brooklyn/Curtis Bay/Hawkins Point,6.551724,8.3,9.54,11.92,12.38,15.6899,18.9019,20.909477,27.2279444693237,33.5237258347978,176077742.748291,150987.70363871
5,Canton,17.46032,18.97,21.11,25.4,23.9,25.4438,28.1609,24.074074,20.2614379084967,17.7304964539007,15408538.2248535,23338.6119476392
6,Cedonia/Frankford,0.948767,1.21,1.8,1.88,1.76,2.0266,2.3585,2.6391279,3.1240038253108,3.63636363636363,71541340.3060913,39962.5498346887
7,Cherry Hill,0.048876,0.67,1.59,1.97,2.42,2.5117,2.9155,3.8077403,4.6265697290152,4.62776659959758,29144181.3517456,22305.3020666774
8,Chinquapin Park/Belvedere,0.389484,2.02,2.66,1.68,1.54,4.8315,5.5435,3.3695652,3.2258064516129,3.36787564766839,21022590.1298218,21705.411630324
9,Claremont/Armistead,14.37549,18.57,21.61,23.19,25.74,25.5518,27.4795,30.706363,33.2930513595166,35.2906976744186,61243774.4198608,40104.4159801772
10,Clifton-Berea,0.386764,0.5,0.52,0.54,0.61,1.2323,1.8409,2.9985007,3.47694633408919,4.59418070444104,23285233.9247437,24022.7646207856
11,Cross-Country/Cheswolde,4.703476,6.58,6.84,7.28,8.15,6.7901,10.3226,12.114014,15.7004830917874,13.8095238095238,38222018.3170166,26788.3018784185
12,Dickeyville/Franklintown,0.536673,0.86,1.09,1.12,1.74,0.6726,0.7026,2.8639618,4.04761904761904,2.7027027027027,35719112.4146729,31637.8174238148
13,Dorchester/Ashburton,0.21575,0.88,1.13,1.2,1.21,1.5551,1.8983,1.7642908,2.68700072621641,2.97805642633228,34118277.1813354,27136.0757115223
14,Downtown/Seton Hill,1.111111,0.39,2.42,1.96,2.88,4.4,3.9474,2.0576132,2.85714285714285,3.68663594470046,20736554.4071045,21565.8593945388
