CSA2010,lifexp,OD
Downtown/Seton Hill,63.1591764,56.9345330437481
Southwest Baltimore,66.39519368,26.614481409002
Pimlico/Arlington/Hilltop,67.13242103,17.1800947867299
Poppleton/The Terraces/Hollins Market,67.18433592,19.6618167518679
Clifton-Berea,67.41755829,15.393963945716
Greenmount East,67.72018545,12.2189638318671
Sandtown-Winchester/Harlem Park,68.08146306,24.5703544575725
Midway/Coldstream,68.13477821,12.3649210307564
Allendale/Irvington/S. Hilton,68.28871069,5.42640439045446
Madison/East End,68.39714942,15.55070042411
Upton/Druid Heights,68.48610587,35.8731386578998
Greater Rosemont,68.52937915,12.8251726465549
Southern Park Heights,68.87533815,8.43119542306534
Oldtown/Middle East,68.89288546,21.0557828560024
Greater Mondawmin,69.35075024,20.0600729457198
Brooklyn/Curtis Bay/Hawkins Point,69.49178917,14.2526153198062
Belair-Edison,70.06877361,2.98576022048691
Penn North/Reservoir Hill,70.16629906,24.1001241208109
The Waverlies,70.27178602,3.3535405649426
Cherry Hill,70.29655528,6.58376005852231
Claremont/Armistead,70.6065575,4.98116875227797
Edmondson Village,70.63462215,3.0379746835443
Washington Village/Pigtown,70.87872487,20.5342540432491
Cedonia/Frankford,71.84065277,2.29231226387061
Forest Park/Walbrook,71.8775707,4.5689917758148
Harbor East/Little Italy,71.87915094,19.604216756057
Dorchester/Ashburton,71.95972537,8.90887493636518
Southeastern,72.10362262,15.814696485623
Westport/Mount Winans/Lakeland,72.18518964,5.89970501474926
Greater Govans,72.22458764,4.21308866211029
Morrell Park/Violetville,72.41494943,13.4984381972334
Patterson Park North & East,72.87660257,6.87332462712214
Beechfield/Ten Hills/West Hills,73.13808623,3.91389432485323
Hamilton,73.68332286,2.92262728810952
Greater Charles Village/Barclay,73.76092381,9.70044536635959
Orangeville/East Highlandtown,73.77429108,11.4992881393057
Loch Raven,74.03997633,2.0900006531252
Chinquapin Park/Belvedere,74.05202405,2.57864878803507
Lauraville,74.69388714,2.03699177055325
Howard Park/West Arlington,74.7394913,5.70219810539869
Northwood,74.87023187,1.20170642312083
Harford/Echodale,75.22009161,2.49420986994477
Dickeyville/Franklintown,75.46233675,2.1945866861741
Medfield/Hampden/Woodberry/Remington,76.64867684,3.85323211410168
Midtown,76.70506269,10.5193075898802
Glen-Fallstaff,76.74861156,6.57100710741585
South Baltimore,77.34414335,1.09272556977833
Highlandtown,77.41007325,4.96551724137931
Fells Point,77.96101796,4.31463657484235
Mount Washington/Coldspring,79.88388818,1.93498452012384
Canton,80.78852184,2.46913580246914
Inner Harbor/Federal Hill,80.78964796,5.9120964605212
North Baltimore/Guilford/Homeland,82.64738945,1.77508016491067
Greater Roland Park/Poplar Hill,82.68364645,0.948895214856988
Cross-Country/Cheswolde,84.71839043,0.306889673162498
