OBJECTID,CSA2010,overd18,overd19,CSA2020,overd20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,3.6381574890547,5.42640439045446,Allendale/Irvington/S. Hilton,7.14863771243593,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,2.03848662752772,3.91389432485323,Beechfield/Ten Hills/West Hills,2.23454440122486,47882527.7110596,37524.9505334171
3,Belair-Edison,3.15801561782269,2.98576022048691,Belair-Edison,3.51342393105734,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,14.6036649582251,14.2526153198062,Brooklyn/Curtis Bay/Hawkins Point,12.3896431486015,176077742.748718,150987.703638771
5,Canton,1.23456790123457,2.46913580246914,Canton,1.69923534409516,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,2.41966294519676,2.29231226387061,Cedonia/Frankford,3.07281229124916,71541340.3063965,39962.5498347166
7,Cherry Hill,5.36454523287003,6.58376005852231,Cherry Hill,5.73639274279616,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,3.6101083032491,2.57864878803507,Chinquapin Park/Belvedere,4.01717689430669,21022590.1307373,21705.411630344
9,Claremont/Armistead,4.25221722755437,4.98116875227797,Orchard Ridge/Armistead,3.86142983230362,61243774.4211426,40104.415980189
10,Clifton-Berea,10.7352643305651,15.393963945716,Clifton-Berea,18.4769697769566,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,1.22755869264999,0.306889673162498,Cross-Country/Cheswolde,0.454098236585181,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,0.975371860521824,2.1945866861741,Dickeyville/Franklintown,3.54030501089325,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,5.51501781774987,8.90887493636518,Dorchester/Ashburton,5.55502346518533,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,40.1799565622091,56.9345330437481,Downtown/Seton Hill,28.3657917019475,20736554.4064941,21565.859394559
15,Edmondson Village,3.79746835443038,3.0379746835443,Edmondson Village,3.66558578880587,23563061.0443115,21504.551357829
