CSA2010,aa
Greater Mondawmin,98.0257510729613
Upton/Druid Heights,97.7483443708609
Greater Rosemont,97.406116918312
Edmondson Village,97.3817567567567
Dickeyville/Franklintown,96.3144963144963
Midway/Coldstream,95.6973293768546
Northwood,95.5194805194805
Sandtown-Winchester/Harlem Park,95.4240390482001
Loch Raven,95.3624733475479
Pimlico/Arlington/Hilltop,95.2635599694423
Forest Park/Walbrook,95.0806451612903
Dorchester/Ashburton,94.8275862068965
Greenmount East,94.7976878612716
Poppleton/The Terraces/Hollins Market,94.7176684881602
Belair-Edison,94.6855983772819
Penn North/Reservoir Hill,94.6236559139785
Greater Govans,94.5983379501385
Southern Park Heights,94.5205479452054
Cherry Hill,93.963782696177
Clifton-Berea,93.4915773353751
Allendale/Irvington/S. Hilton,92.2451193058568
Howard Park/West Arlington,92.0731707317073
Oldtown/Middle East,91.8962722852512
Beechfield/Ten Hills/West Hills,91.0874897792314
Cedonia/Frankford,90.7210031347962
Chinquapin Park/Belvedere,87.8238341968912
Downtown/Seton Hill,87.5576036866359
Hamilton,86.4651773981603
Madison/East End,84.5956354300385
The Waverlies,84.5588235294117
Lauraville,83.8235294117647
Harford/Echodale,82.8277046365197
Southwest Baltimore,80.4666304937601
Harbor East/Little Italy,78.207381370826
Cross-Country/Cheswolde,76.9047619047619
Washington Village/Pigtown,75.2327746741154
Greater Charles Village/Barclay,73.076923076923
Midtown,67.8260869565217
Glen-Fallstaff,67.6880222841225
Claremont/Armistead,52.3837209302325
Westport/Mount Winans/Lakeland,49.8976109215017
Brooklyn/Curtis Bay/Hawkins Point,45.1230228471001
Morrell Park/Violetville,44.6547884187082
Patterson Park North & East,41.7767988252569
Mount Washington/Coldspring,40.4522613065326
Inner Harbor/Federal Hill,37.29216152019
North Baltimore/Guilford/Homeland,36.695652173913
Southeastern,28.7722586691658
Medfield/Hampden/Woodberry/Remington,24.3478260869565
Greater Roland Park/Poplar Hill,18.2242990654205
Fells Point,18.1818181818181
Canton,12.7659574468085
Highlandtown,12.6137841352405
South Baltimore,10.5442176870748
Orangeville/East Highlandtown,9.80290456431535
