CSA2010,sw
Greater Mondawmin,7.76419841840402
Upton/Druid Heights,7.42432895488292
Greater Rosemont,7.3432083202017
Edmondson Village,6.67603654251581
Dickeyville/Franklintown,5.35714285714285
Midway/Coldstream,7.760663507109
Northwood,3.42624854819976
Sandtown-Winchester/Harlem Park,6.4333017975402
Loch Raven,4.43548387096774
Pimlico/Arlington/Hilltop,7.00557966522008
Forest Park/Walbrook,5.78800557880055
Dorchester/Ashburton,5.76208178438661
Greenmount East,7.3318216175359
Poppleton/The Terraces/Hollins Market,4.53333333333333
Belair-Edison,5.71936056838365
Penn North/Reservoir Hill,5.07117437722419
Greater Govans,5.83896742470805
Southern Park Heights,6.65650406504065
Cherry Hill,7.26775956284153
Clifton-Berea,5.85241730279898
Allendale/Irvington/S. Hilton,5.06831203173204
Howard Park/West Arlington,4.56081081081081
Oldtown/Middle East,6.41848523748395
Beechfield/Ten Hills/West Hills,4.29155313351498
Cedonia/Frankford,5.15126737530662
Orangeville/East Highlandtown,2.50231696014828
Chinquapin Park/Belvedere,4.57516339869281
Downtown/Seton Hill,6.34920634920634
Hamilton,3.75139977603583
Madison/East End,6.08034744842562
The Waverlies,4.82625482625482
Lauraville,4.52702702702702
Harford/Echodale,3.79871731623088
Southwest Baltimore,6.40070144673388
Harbor East/Little Italy,4.47368421052631
Cross-Country/Cheswolde,2.2633744855967
Washington Village/Pigtown,5.61456752655538
Greater Charles Village/Barclay,3.08056872037914
Midtown,3.97196261682242
Glen-Fallstaff,4.17661097852028
Claremont/Armistead,3.13745019920318
Westport/Mount Winans/Lakeland,6.05355064027939
Brooklyn/Curtis Bay/Hawkins Point,5.65610859728506
Morrell Park/Violetville,5.92105263157894
Patterson Park North & East,3.6944270507201
Mount Washington/Coldspring,0.671140939597315
Inner Harbor/Federal Hill,3.04182509505703
North Baltimore/Guilford/Homeland,1.93740685543964
Southeastern,5.06838294448913
Medfield/Hampden/Woodberry/Remington,1.6267942583732
Greater Roland Park/Poplar Hill,
Fells Point,1.65016501650165
Canton,1.65745856353591
Highlandtown,2.96774193548387
South Baltimore,0.524934383202099
